Time,Temperature (°C),Humidity (%)
11:02:57,31.2,100.0
11:03:00,30.9,100.0
11:03:03,30.6,94.9
11:03:06,30.1,93.5
11:03:09,30.0,91.4
11:03:12,29.8,87.8
11:03:15,30.0,81.3
11:03:18,30.6,76.1
11:03:21,31.1,71.8
11:03:24,31.3,69.0
11:03:27,31.4,66.5
11:03:30,31.7,64.1
11:03:33,32.1,62.1
11:03:36,32.5,60.3
11:03:39,33.2,58.7
11:03:42,34.1,56.9
11:03:45,34.7,55.1
11:03:48,35.1,53.6
11:03:51,35.3,52.3
11:03:54,35.9,51.2
11:03:57,36.5,50.0
11:04:00,36.9,48.9
11:04:03,37.2,47.9
11:04:06,37.2,47.7
11:04:09,37.7,46.8
11:04:12,38.2,46.0
11:04:15,38.6,45.2
11:04:18,38.9,44.4
11:04:21,39.0,43.8
11:04:24,39.1,43.2
11:04:27,39.2,42.8
11:04:30,39.2,42.4
11:04:33,39.2,42.2
11:04:36,39.3,42.0
11:04:39,39.3,41.9
11:04:43,39.2,41.8
11:04:46,39.1,41.7
11:04:49,39.0,41.8
11:04:52,38.9,41.8
11:04:55,38.7,41.9
11:04:58,38.6,42.1
11:05:01,38.5,42.2
11:05:04,38.5,42.4
11:05:07,38.6,42.4
11:05:10,38.6,42.4
11:05:13,38.7,42.3
11:05:16,38.8,42.2
11:05:19,39.0,42.1
11:05:22,39.0,41.9
11:05:25,39.1,41.9
11:05:28,39.1,41.8
11:05:31,39.2,41.8
11:05:34,39.3,41.7
11:05:37,39.4,41.5
11:05:40,39.5,41.4
11:05:43,39.6,41.3
11:05:46,39.6,41.1
11:05:49,39.7,41.0
11:05:52,39.8,40.8
11:05:55,39.7,40.7
11:05:58,39.7,40.8
11:06:01,39.7,40.8
11:06:04,39.6,40.8
11:06:07,39.6,40.7
11:06:10,39.5,40.6
11:06:13,39.5,40.7
11:06:16,39.5,40.7
11:06:19,39.4,40.8
11:06:22,39.5,40.8
11:06:25,39.3,40.7
11:06:28,39.1,40.8
11:06:31,38.8,41.0
11:06:34,38.4,41.4
11:06:37,37.9,41.7
11:06:40,37.5,42.2
11:06:43,37.2,42.8
11:06:46,36.8,43.4
11:06:49,36.5,44.0
11:06:52,36.2,44.5
11:06:55,36.0,45.0
11:06:58,35.6,45.6
11:07:01,35.4,46.0
11:07:04,35.2,46.6
11:07:07,35.0,47.0
11:07:10,34.8,47.5
11:07:13,34.7,47.9
11:07:16,34.5,48.2
11:07:19,34.4,48.7
11:07:22,34.2,49.0
11:07:25,34.0,49.4
11:07:28,33.8,49.7
11:07:31,33.7,50.3
11:07:34,33.6,50.5
11:07:37,33.5,50.8
11:07:40,33.4,51.1
11:07:43,33.3,51.3
11:07:46,33.2,51.6
11:07:49,33.1,51.7
